Date,1_month_rainfall_aggregate,1_month_rainfall_aggregate_avg
1981-01-01,,
1981-01-11,,
1981-01-21,78.7623,110.2773
1981-02-01,64.3934,107.7235
1981-02-11,64.3033,109.106
1981-02-21,72.2541,101.1907
1981-03-01,41.3197,109.3117
1981-03-11,51.9836,128.7587
1981-03-21,106.5984,159.5342
1981-04-01,158.2623,204.4874
1981-04-11,176.1557,243.1019
1981-04-21,153.6721,289.6137
1981-05-01,293.1885,323.8527
1981-05-11,383.1148,359.7716
1981-05-21,533.3279,382.1943
1981-06-01,364.7377,364.8877
1981-06-11,345.8361,325.4339
1981-06-21,212.0082,281.4664
1981-07-01,176.6311,232.6503
1981-07-11,179.959,205.8511
1981-07-21,250.7623,178.7913
1981-08-01,253.0574,157.9027
1981-08-11,154.5,152.1984
1981-08-21,99.7377,158.1306
1981-09-01,225.1721,209.9432
1981-09-11,375.6557,249.3579
1981-09-21,324.9344,302.1975
1981-10-01,198.4754,329.4016
1981-10-11,100.4262,386.7899
1981-10-21,234.541,428.6907
1981-11-01,345.6557,441.1661
1981-11-11,377.8689,406.6123
1981-11-21,310.9508,376.3167
1981-12-01,281.9672,318.7489
1981-12-11,251.6393,262.4014
1981-12-21,191.5984,186.6727
1982-01-01,108.5,155
1982-01-11,50.0246,125.6929
1982-01-21,24.1066,110.2773
1982-02-01,16.7459,107.7235
1982-02-11,17.6967,109.106
1982-02-21,16.418,101.1907
1982-03-01,26.7213,109.3117
1982-03-11,35.8033,128.7587
1982-03-21,65.418,159.5342
1982-04-01,57.4672,204.4874
1982-04-11,85.2295,243.1019
1982-04-21,174.8361,289.6137
1982-05-01,188.0328,323.8527
1982-05-11,235.2049,359.7716
1982-05-21,348.8689,382.1943
1982-06-01,536.3115,364.8877
1982-06-11,472.9016,325.4339
1982-06-21,268.5246,281.4664
1982-07-01,76.6885,232.6503
1982-07-11,73.582,205.8511
1982-07-21,86.8607,178.7913
1982-08-01,122.9508,157.9027
1982-08-11,117.9098,152.1984
1982-08-21,82.2459,158.1306
1982-09-01,42.2787,209.9432
1982-09-11,134.3852,249.3579
1982-09-21,212.9344,302.1975
1982-10-01,326.2377,329.4016
1982-10-11,307.1148,386.7899
1982-10-21,368.3279,428.6907
1982-11-01,357.3279,441.1661
1982-11-11,453.1967,406.6123
1982-11-21,443.082,376.3167
1982-12-01,393.4836,318.7489
1982-12-11,261.8525,262.4014
1982-12-21,172.8197,186.6727
1983-01-01,114.3197,155
